class name,field name 1,value,field name 2,value 2,field name 3,value 3
DC_province,name,Samsun,original_name,Samsun,region,Central Anatolia
DC_province,name,Sinop,original_name,Sinop,region,Central Anatolia
DC_province,name,Tokat,original_name,Tokat,region,Central Anatolia
DC_province,name,Zonguldak,original_name,Zonguldak,region,Central Anatolia
DC_province,name,Dodecanese,original_name,Δωδεκανήσος,region,Eastern Aegean
DC_province,name,Samos –  Ikaria,original_name,Σάμος - Ικαρία,region,Eastern Aegean
DC_province,name,Chios,original_name,Χίος,region,Eastern Aegean
DC_province,name,Lesbos,original_name,Λέσβος,region,Eastern Aegean
DC_province,name,Karditsa,original_name,Καρδίτσα,region,Thessaly
DC_province,name,Larissa,original_name,Λάρισα,region,Thessaly
DC_province,name,Magnesia,original_name,Μαγνησία,region,Thessaly
DC_province,name,Northern Sporades,original_name,Βόρειες Σποράδες,region,Thessaly
DC_province,name,Trikala,original_name,Τρίκαλα,region,Thessaly
DC_province,name,Messenia,original_name,Μεσσηνία,region,Peloponnese
DC_province,name,Achaea,original_name,Αχαΐα,region,Peloponnese
DC_province,name,Arcadia,original_name,Αρκαδία,region,Peloponnese
DC_province,name,Argolid,original_name,Αργολίδα,region,Peloponnese
DC_province,name,Corinthia,original_name,Κορινθία,region,Peloponnese
DC_province,name,Eleia,original_name,Ηλεία,region,Peloponnese
DC_province,name,Laconia,original_name,Λακωνία,region,Peloponnese
DC_province,name,Cyclades,original_name,Κυκλάδες,region,Cyclades
DC_province,name,Athens,original_name,Αθήνα,region,Central Greece
DC_province,name,Boiotia,original_name,Βοιωτία,region,Central Greece
DC_province,name,East Attica,original_name,Ανατολική Αττική,region,Central Greece
DC_province,name,Euboia,original_name,Εύβοια,region,Central Greece
DC_province,name,West Attica,original_name,Δυτική Αττική,region,Central Greece
DC_province,name,Saronic Gulf,original_name,Σαρονικός Κόλπος,region,Central Greece
DC_province,name,Piraeus,original_name,Πειραιάς,region,Central Greece
DC_province,name,Phokis,original_name,Φωκίδα,region,Central Greece
DC_province,name,Phthiotis ,original_name,Φθιώτιδα,region,Central Greece
DC_province,name,Evrytania,original_name,Ευρυτανία,region,Central Greece
DC_province,name,Ioannina,original_name,Ιωάννίνα,region,Epirus - Northwestern Greece
DC_province,name,Preveza,original_name,Πρέβεζα,region,Epirus - Northwestern Greece
DC_province,name,Thesprotia,original_name,Θεσπρωτία,region,Epirus - Northwestern Greece
DC_province,name,Arta,original_name,Άρτα,region,Epirus - Northwestern Greece
DC_province,name,Lefkada,original_name,Λευκάδα,region,Ionian Islands
DC_province,name,Kerkyra,original_name,Κέρκυρα,region,Ionian Islands
DC_province,name,Kefallonia,original_name,Κεφαλληνιά,region,Ionian Islands
DC_province,name,Kythera,original_name,Κύθηρα,region,Ionian Islands
DC_province,name,Zakynthos,original_name,Ζάκυνθος,region,Ionian Islands
DC_province,name,Rethymnon,original_name,Ρέθυμνον,region,Crete
DC_province,name,Central Crete (Heraklio),original_name,Ηράκλειο,region,Crete
DC_province,name,Chania,original_name,Χανιά,region,Crete
DC_province,name,Lasithi,original_name,Λασίθι,region,Crete
DC_province,name,Florina,original_name,Φλώρινα,region,Western Macedonia
DC_province,name,Grevena,original_name,Γρεβενά,region,Western Macedonia
DC_province,name,Imathia,original_name,Ημαθία,region,Western Macedonia
DC_province,name,Kastoria,original_name,Καστοριά,region,Western Macedonia
DC_province,name,Pieria,original_name,Πιερία,region,Western Macedonia
DC_province,name,Kozani,original_name,Κοζάνη,region,Western Macedonia
DC_province,name,Kilkis,original_name,Κιλκίς,region,Central Macedonia
DC_province,name,Pella ,original_name,Πέλλα,region,Central Macedonia
DC_province,name,"Thessaloniki, surroundings",original_name,Θεσσαλονίκη,region,Central Macedonia
DC_province,name,City of Thessaloniki,original_name,Πόλη Θεσσαλονίκης,region,Central Macedonia
DC_province,name,Mount Athos,original_name,Άγιος Όρος,region,Central Macedonia
DC_province,name,Chalkidiki,original_name,Χαλκιδική,region,Central Macedonia
DC_province,name,Serres,original_name,Σέρρες,region,Eastern Macedonia
DC_province,name,Drama,original_name,Δράμα,region,Eastern Macedonia
DC_province,name,Kavalla,original_name,Καβάλα,region,Thrace
DC_province,name,Thasos,original_name,Θάσος,region,Thrace
DC_province,name,Evros,original_name,Έβρος,region,Thrace
DC_province,name,Xanthi,original_name,Χάνθη,region,Thrace
DC_province,name,Rhodope,original_name,Ροδόπη,region,Thrace
DC_province,name,Aetolia,original_name,Αιτωλία,region,Western Greece
DC_province,name,Acarnania,original_name,Ακαρνανία,region,Western Greece
