class name,fields name,field value,field name 2,second value
DC_finds_small_finds_type,name,Smoother,,
DC_finds_small_finds_type,name,Object,,
DC_finds_small_finds_type,name,Adze,,
DC_finds_small_finds_type,name,Crucible,,
DC_finds_small_finds_type,name,Shuttle,,
DC_finds_small_finds_type,name,Pendant,,
DC_finds_small_finds_type,name,Bracelet,,
DC_finds_small_finds_type,name,Bead,,
DC_finds_small_finds_type,name,Studs/Plugs,,
DC_finds_small_finds_type,name,Necklace,,
DC_finds_small_finds_type,name,Split leg,,
DC_finds_small_finds_type,name,Steckkopf ,,
DC_finds_small_finds_type,name,Kiliya,,
DC_finds_small_finds_type,name,Abstract,,
DC_finds_small_finds_type,name,Naturalistic,,
DC_finds_small_finds_type,name,Weight,,
DC_finds_small_finds_type,name,Shatt – straightener,,
DC_finds_small_finds_type,name,Pounder,,
DC_finds_small_finds_type,name,Hammerstone,,
DC_finds_small_finds_type,name,Stamp,,
DC_finds_animal_remains_completeness,name,complete  ,,
DC_finds_animal_remains_completeness,name,incomplete,,
DC_finds_animal_remains_part,name,skull,,
DC_finds_animal_remains_part,name,hindlimb,,
DC_finds_animal_remains_part,name,forelimb,,
DC_finds_animal_remains_part,name,extremity,,
DC_finds_animal_remains_part,name,body ,,
DC_finds_animal_remains_part,name,jaw,,
DC_finds_animal_remains_part,name,horn,,
DC_finds_animal_remains_part,name,antler,,
DC_finds_animal_remains_part,name,unknown,,
DC_finds_animal_remains_part,name,claw,,
DC_finds_lithics_technology,name,Direct percussion,,
DC_finds_lithics_technology,name,Indirect percussion,,
DC_finds_lithics_technology,name,Pressure technique,,
DC_finds_lithics_industry,name,Blade industry,,
DC_finds_lithics_industry,name,Flake industry,,
DC_finds_lithics_industry,name,Microlithic industry,,
DC_finds_lithics_core_shape,name,Bullet core,,
DC_finds_lithics_core_shape,name,Conical core,,
DC_finds_lithics_core_shape,name,Wedge-shaped core,,
DC_finds_lithics_core_shape,name,Unidirectional core,,
DC_finds_lithics_core_shape,name,Bidirectional core,,
DC_finds_lithics_core_shape,name,Naviform core,,
DC_finds_lithics_core_shape,name,Flake core,,
DC_finds_lithics_core_shape,name,Blade core,,
DC_finds_lithics_core_shape,name,Core fragment,,
DC_finds_lithics_retouched_tools,name,End-scraper on blade,,
DC_finds_lithics_retouched_tools,name,End-scraper on flake,,
DC_finds_lithics_retouched_tools,name,Side-scraper,,
DC_finds_lithics_retouched_tools,name,Circular/round scraper,,
DC_finds_lithics_retouched_tools,name,High/thick scraper,,
DC_finds_lithics_retouched_tools,name,Micro end-scraper,,
DC_finds_lithics_retouched_tools,name,Retouched blade,,
DC_finds_lithics_retouched_tools,name,Retouched flake,,
DC_finds_lithics_retouched_tools,name,Denticulate,,
DC_finds_lithics_retouched_tools,name,Notch,,
DC_finds_lithics_retouched_tools,name,Truncation,,
DC_finds_lithics_retouched_tools,name,Double truncation,,
DC_finds_lithics_retouched_tools,name,Perforator,,
DC_finds_lithics_retouched_tools,name,Drill,,
DC_finds_lithics_retouched_tools,name,Arrowhead,,
DC_finds_lithics_retouched_tools,name,Point,,
DC_finds_lithics_retouched_tools,name,Burin,,
DC_finds_lithics_retouched_tools,name,Trapeze,,
DC_finds_lithics_retouched_tools,name,Segment/lunate,,
DC_finds_lithics_retouched_tools,name,Backed bladelet,,
DC_finds_lithics_retouched_tools,name,Splinter,,
DC_finds_lithics_raw_material,name,Obsidian,,
DC_finds_lithics_raw_material,name,Flint,,
DC_finds_lithics_raw_material,name,Chert ,,
DC_finds_lithics_raw_material,name,Chalcedony,,
DC_finds_lithics_raw_material,name,Jasper,,
DC_finds_lithics_raw_material,name,Quartz,,
DC_finds_lithics_raw_material,name,Rock crystal,,
DC_finds_lithics_raw_material,name,Quartzite,,
DC_finds_lithics_raw_material,name,Radiolarite,,
DC_interpretation_productiontype,name,textile production,,
DC_interpretation_productiontype,name,metal production,,
DC_interpretation_productiontype,name,chipped stone tool production,,
DC_interpretation_productiontype,name,stone tool production,,
DC_interpretation_productiontype,name,shell production,,
DC_interpretation_productiontype,name,bone tool production ,,
DC_interpretation_productiontype,name,pottery production,,
DC_interpretation_subsistencetype,name,fishing,,
DC_interpretation_subsistencetype,name,farming,,
DC_interpretation_subsistencetype,name,animal husbandry,,
DC_interpretation_subsistencetype,name,hunting,,
DC_interpretation_subsistencetype,name,collecting,,
DC_interpretation_subsistencetype,name,storage systems,,
DC_period_datedby,name,charcoal,,
DC_period_datedby,name,bone,,
DC_period_datedby,name,grain,,
DC_period_datedby,name,seed,,
DC_period_datingmethod,name,radiocarbon dating,,
DC_period_datingmethod,name,dendrochronology,,
DC_period_datingmethod,name,material culture,,
DC_period_datingmethod,name,none recorded,,
DC_researchevent_special_analysis,name,animal remains report,,
DC_researchevent_special_analysis,name,archaeobotany: macro-botany,,
DC_researchevent_special_analysis,name,archaeobotany: pollen,,
DC_researchevent_special_analysis,name,ceramics: sourcing,,
DC_researchevent_special_analysis,name,ceramics: thin section analysis ,,
DC_researchevent_special_analysis,name,dating: archaeomagnetism,,
DC_researchevent_special_analysis,name,dating: dendrochronology,,
DC_researchevent_special_analysis,name,dating: lead isotope dating,,
DC_researchevent_special_analysis,name,dating: luminescence dating,,
DC_researchevent_special_analysis,name,dating: mitochondrial DNA,,
DC_researchevent_special_analysis,name,dating: oxygen isotope analysis,,
DC_researchevent_special_analysis,name,dating: radiocarbon dating,,
DC_researchevent_special_analysis,name,DNA analysis,,
DC_researchevent_special_analysis,name,human remains report,,
DC_researchevent_special_analysis,name,isotopes: carbon (C),,
DC_researchevent_special_analysis,name,isotopes: lead (Pb),,
DC_researchevent_special_analysis,name,isotopes: nitrogen (N),,
DC_researchevent_special_analysis,name,isotopes: oxygen (O),,
DC_researchevent_special_analysis,name,isotopes: strontium (Sr),,
DC_researchevent_special_analysis,name,lithics: raw material sourcing,,
DC_researchevent_special_analysis,name,metallurgy,,
DC_researchevent_special_analysis,name,mineralogy,,
DC_researchevent_special_analysis,name,soil analysis: particle size analysis,,
DC_researchevent_special_analysis,name,soil analysis: soil chemistry,,
