class name,fields name,field value,field name 2,second value
DC_researchevent_institution,name,Justus-Liebig-Universität Giessen - Institut für Altertumswissenschaften - Klassische Archäologie,,
DC_researchevent_institution,name,Justus-Liebig-Universität Giessen - Institut für Altertumswissenschaften - Alte Geschichte,,
DC_researchevent_institution,name,Universität Göttingen - Archäologisches Institut,,
DC_researchevent_institution,name,Universität Göttingen - Institut für Christliche Archäologie un Byzantinische Kunstgeschichte,,
DC_researchevent_institution,name,Martin-Luther-Universität Halle-Wittenberg - Institut für Klassische Altertumswissenschaften - Klassiche Altertumswissenschaften,,
DC_researchevent_institution,name,Martin-Luther-Universität Halle-Wittenberg - Institut für Klassische Altertumswissenschaften - Klassiche Archäologie,,
DC_researchevent_institution,name,Archäologisches Museum - Martin-Luther-Universität Halle-Wittenberg,,
DC_researchevent_institution,name,Universität Hamburg - AGIL - Büro für Angewandte Archäologie,,
DC_researchevent_institution,name,Universität Hamburg - Institut für Vor- und Frühgeschichtliche Archäologie,,
DC_researchevent_institution,name,Universität Hamburg - Institut für Archäologie und Kulturgeschichte des antiken Mittelmeerraumes,,
DC_researchevent_institution,name,Universität Heidelberg - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Heidelberg - Ägyptologisches Institut,,
DC_researchevent_institution,name,Universität Heidelberg - Institut für Byzantinische Archäologie und Kunstgeschichte,,
DC_researchevent_institution,name,Universität Heidelberg - Institut für Ur- und Frühgeschichte und Vorderasiatische Archäologie,,
DC_researchevent_institution,name,Christian-Albrechts-Universität zu Kiel - Institut für Klassische Altertumskunde - Klassische Archäologie,,
DC_researchevent_institution,name,Christian-Albrechts-Universität zu Kiel - Institut für Ur- und Frühgeschichte,,
DC_researchevent_institution,name,Universität zu Köln - Archäologisches Institut,,
DC_researchevent_institution,name,Universität Leipzig - Institut für Ägyptologie,,
DC_researchevent_institution,name,Ägyptisches Museum - Universität Leipzig,,
DC_researchevent_institution,name,Universität Leipzig - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Leipzig - Antikenmuseum,,
DC_researchevent_institution,name,Universität Leipzig - Altorientalisches Institut,,
DC_researchevent_institution,name,Johannes Gutenberg Universität Mainz - Institut für Vor- und Frühgeschichte,,
DC_researchevent_institution,name,Johannes Gutenberg Universität Mainz - Institut für Ägyptologie und Altorientalistik,,
DC_researchevent_institution,name,Johannes Gutenberg Universität Mainz - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Johannes Gutenberg Universität Mainz - Institut für Kunstgeschichte und Musikwissenschaft,,
DC_researchevent_institution,name,Philipps Universität Marburg - Vor- und Frühgeschichte,,
DC_researchevent_institution,name,Philipps Universität Marburg - Klassische Archäologie,,
DC_researchevent_institution,name,Philipps Universität Marburg - Christliche Archäologie und Byzantinische Kunstgeschichte,,
DC_researchevent_institution,name,Ludwig-Maximilians-Universität München - Institut für Ägyptologie und Koptologie,,
DC_researchevent_institution,name,Ludwig-Maximilians-Universität München - Institut für Assyrologie und Hethitologie,,
DC_researchevent_institution,name,Ludwig-Maximilians Universität München - Institut für Klassische Archäölogie,,
DC_researchevent_institution,name,Ludwig-Maximilians Universität München - Institut für Vorderasiatische Archäologie,,
DC_researchevent_institution,name,Ludwig-Maximilians Universität München - Institut für Vor- und Frühgeschichtliche Archäologie und Provinzialrömische Archäologie,,
DC_researchevent_institution,name,Westfälische Wilhelms-Universität Münster - Institut für Klassiche Archäologie und Christliche Archäologie,,
DC_researchevent_institution,name,Archäologisches Museum - Universität Münster,,
DC_researchevent_institution,name,Westfälische Wilhelms-Universität Münster - Institut für Altorientalische Philologie und Vorderasiatische Altertumskunde,,
DC_researchevent_institution,name,Westfälische Wilhelms-Universität Münster - Institut für Ägyptolgie und Koptologie,,
DC_researchevent_institution,name,Westfälische Wilhelms-Universität Münster - Institut für Ur- und Frühgeschichtliche Archäologie,,
DC_researchevent_institution,name,Universität Regensburg - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Rostock - Heinrich Schliemann-Institut für Altertumswissenschaften,,
DC_researchevent_institution,name,Universität des Saarlandes - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität des Saarlandes - Institut für Vor- und Frühgeschichte und Vorderasiatische Archäologie,,
DC_researchevent_institution,name,Universität Trier - Institut für Ägyptologie,,
DC_researchevent_institution,name,Universität Trier - Institut für Klassiche Archäologie,,
DC_researchevent_institution,name,Eberhard Karls-Universität Tübingen - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Eberhard Karls-Universität Tübingen - Institut für die Kulturen des Alten Orients (IANES),,
DC_researchevent_institution,name,Eberhard Karls-Universität Tübingen - Biblisch-Archäologisches Institut,,
DC_researchevent_institution,name,Eberhard Karls-Universität Tübingen - Institut für Ur- und Frühgeschichte und Archäologie des Mittelalters,,
DC_researchevent_institution,name,Julius-Maximilians-Universität Würzburg - IAW - Ägyptologie,,
DC_researchevent_institution,name,Julius-Maximilians-Universität Würzburg - IAW - Altorientalistik,,
DC_researchevent_institution,name,Julius-Maximilians-Universität Würzburg - IAW - Klassische Archäologie,,
DC_researchevent_institution,name,Julius-Maximilians-Universität Würzburg - IAW - Vor- und Frühgeschichtliche Archäologie,,
DC_researchevent_institution,name,Universität Zürich (UZH) - Institut für Archäologie - Klassische Archäologie,,
DC_researchevent_institution,name,Universität Zürich (UZH) - Institut für Archäologie - Prähistorische Archäologie,,
DC_researchevent_institution,name,Panthéon Sorbonne-Université Paris - Department d'art et d'archéologie,,
DC_researchevent_institution,name,University of Chichago - Oriental Institute,,
DC_researchevent_institution,name,University of Chichago - Center for Eastern European and Russian/Eurasian Studies (CEERES),,
DC_researchevent_institution,name,Yale University - Department of Anthropology,,
DC_researchevent_institution,name,Havard University - Department of Anthropology,,
DC_researchevent_institution,name,Oxford University - Institute of Archaeology,,
DC_researchevent_institution,name,University of Cambridge - Department of Archaeology,,
DC_researchevent_institution,name,Archäologisches und Anthropologisches Museum Cambridge (MMA),,
DC_researchevent_institution,name,University of Cambridge - McDonald Institute for Archaeological Resarch,,
DC_researchevent_institution,name,Griechisch-Römisches Museum Alexandria,,
DC_researchevent_institution,name,Ägyptisches Museum - Kairo,,
DC_researchevent_institution,name,Luxor Museum,,
DC_researchevent_institution,name,Historisches Museum Shkodra,,
DC_researchevent_institution,name,Archäologisches Nationalmuseum - Tirana,,
DC_researchevent_institution,name,Historischesn Nationalmuseum  - Tirana,,
DC_researchevent_institution,name,Regionaal Archeologisch Museum,,
DC_researchevent_institution,name,Nationalmuseum von Bosnien und Herzegowina - Sarajewo,,
DC_researchevent_institution,name,Museum der Republik Srpska - Banja Luka,,
DC_researchevent_institution,name,Archäologisches Museum Nessebar,,
DC_researchevent_institution,name,Archäologisches Museum Plowdiw,,
DC_researchevent_institution,name,Nationales Archäologisches Museum Sofia,,
DC_researchevent_institution,name,Nationales Historisches Museum Sofia,,
DC_researchevent_institution,name,Archäologisches Museum Warna,,
DC_researchevent_institution,name,Archäologisches Museum Weliki Preslaw,,
DC_researchevent_institution,name,Archäologisches Museum Weliko Tarnowo,,
DC_researchevent_institution,name,Dänisches Nationalmuseum,,
DC_researchevent_institution,name,Fotevikens Vikingacenter,,
DC_researchevent_institution,name,Historisches Museum der Färöer,,
DC_researchevent_institution,name,Hjemsted Oltidspark,,
DC_researchevent_institution,name,Moesgaard Museum,,
DC_researchevent_institution,name,Museet Ribes Vikinger,,
DC_researchevent_institution,name,Ribe VikingeCenter,,
DC_researchevent_institution,name,Ägyptisches Museum - Berlin,,
DC_researchevent_institution,name,Antikensammlung - Berlin,,
DC_researchevent_institution,name,Märkisches Museum - Berlin,,
DC_researchevent_institution,name,Museum für Islamische Kunst - Berlin,,
DC_researchevent_institution,name,Museum für Vor- und Frühgeschichte - Berlin,,
DC_researchevent_institution,name,Pergamonmuseum,,
DC_researchevent_institution,name,Vorderasiatisches Museum - Berlin,,
DC_researchevent_institution,name,Archäologisches Museum Hamburg,,
DC_researchevent_institution,name,Archäologische Sammlung der Universität Rostock,,
DC_researchevent_institution,name,Archäologisches Museum Münster,,
DC_researchevent_institution,name,Ägyptisches Museum Bonn,,
DC_researchevent_institution,name,Römische-Germanisches Museum Köln,,
DC_researchevent_institution,name,Römisch-Germanisches Zentralmuseum,,
DC_researchevent_institution,name,Original- und Abgussammlung des Archäologischen Instituts der Universität des Saarlandes,,
DC_researchevent_institution,name,Ägyptisches Museum der Universität Leipzig,,
DC_researchevent_institution,name,Antikenmuseum der Universität Leipzig,,
DC_researchevent_institution,name,Museum für Ur- und Frühgeschichte Thüringens,,
DC_researchevent_institution,name,Ur- und frühgeschichtliche Sammlung der Universität Jena,,
DC_researchevent_institution,name,Musée d'archéologie nationale,,
DC_researchevent_institution,name,Musée du Louvre - Paris,,
DC_researchevent_institution,name,Archäologisches Museum - Athen,,
DC_researchevent_institution,name,"Archäologisches Museum - Chania, Kreta",,
DC_researchevent_institution,name,Archäologisches Museum  - Epidauros,,
DC_researchevent_institution,name,Archäologisches Museum - Ioannina,,
DC_researchevent_institution,name,"Archäologisches Museum - Iraklio, Kreta",,
DC_researchevent_institution,name,Archäologisches Museum - Komotini,,
DC_researchevent_institution,name,Archäologisches Museum - Kornith,,
DC_researchevent_institution,name,Archäologisches Museum - Olympia,,
DC_researchevent_institution,name,Archäologisches Museum - Patras,,
DC_researchevent_institution,name,Archäologisches Museum - Rethymno,,
DC_researchevent_institution,name,Archäologisches Museum - Theben,,
DC_researchevent_institution,name,"Archäologisches Museum - Vathy, Samos",,
DC_researchevent_institution,name,Archäologisches Nationalmuseum - Athen,,
DC_researchevent_institution,name,Archäologisches Museum Kalapodi,,
DC_researchevent_institution,name,Ashmolian Museum,,
DC_researchevent_institution,name,Brithish Museum ,,
DC_researchevent_institution,name,Jorvik Viking Centre,,
DC_researchevent_institution,name,Petrie Museum of Egyptian Archaeology,,
DC_researchevent_institution,name,World Museum Liverpool,,
DC_researchevent_institution,name,Bible Lands Museum Jerusalem,,
DC_researchevent_institution,name,Israel-Museum,,
DC_researchevent_institution,name,Rockefeller-Museum Jerusalem,,
DC_researchevent_institution,name,Haifa-Museum,,
DC_researchevent_institution,name,Archäologisches Nationalmuseum - Florenz,,
DC_researchevent_institution,name,Archäologisches Nationalmuseum - Neapel,,
DC_researchevent_institution,name,Archäologisches Museum Vetulonia - Toskana,,
DC_researchevent_institution,name,Museo Archeologico Regionale Antonino Salinas - Palemo,,
DC_researchevent_institution,name,Museo Archeologico Regionale Paolo Orsi - Syrakus,,
DC_researchevent_institution,name,Museum für Ligurische Archäologie - Genua,,
DC_researchevent_institution,name,Museo Egizio - Turin,,
DC_researchevent_institution,name,Museum des Kosovo - Priština,,
DC_researchevent_institution,name,Archälogisches Museum Istriens - Pula,,
DC_researchevent_institution,name,Archäologisches Museum - Split,,
DC_researchevent_institution,name,Archäologisches Museum - Zagreb,,
DC_researchevent_institution,name,Museum für Archäologische Denkmäler Kroatiens - Split,,
DC_researchevent_institution,name,Lichtensteinisches Landesmuseum,,
DC_researchevent_institution,name,Musée de l'Etat Luxembourg,,
DC_researchevent_institution,name,Archäologisches Nationalmuseum Maltas - Valetta,,
DC_researchevent_institution,name,Drents Museum,,
DC_researchevent_institution,name,Museum Het Valkhof,,
DC_researchevent_institution,name,Rijksmuseum van Oudheden,,
DC_researchevent_institution,name,Staatliches Oman Museum - Qurum,,
DC_researchevent_institution,name,Archäologisches Museum Fließ,,
DC_researchevent_institution,name,Museum für Frühgeschichte Traismauer,,
DC_researchevent_institution,name,Museum für Ur- und Frühgeschichte Wieselburg,,
DC_researchevent_institution,name,Museum für Urgeschichte des Landes Niederösterreich (Schloss Asparn),,
DC_researchevent_institution,name,Römermuseum Tulln,,
DC_researchevent_institution,name,Schlossmuseum Linz,,
DC_researchevent_institution,name,Ephesos Museum Wien,,
DC_researchevent_institution,name,Keltenmuseum Hallein,,
DC_researchevent_institution,name,Kusthistorisches Museum Wien,,
DC_researchevent_institution,name,Landesmuseum Joanneum,,
DC_researchevent_institution,name,Naturhistorisches Museum Wien,,
DC_researchevent_institution,name,Oberösterreichische Landesmuseen,,
DC_researchevent_institution,name,Papyrussammlung und Papyrumsmuseum Wien,,
DC_researchevent_institution,name,Tiroler Landesmuseum,,
DC_researchevent_institution,name,Vorarlbergmuseum,,
DC_researchevent_institution,name,Archäologisches Museum Warschau,,
DC_researchevent_institution,name,Archäologisches Museum Krakau,,
DC_researchevent_institution,name,Anthropologische und archäologische Sammlungen der Jagiellonischen Universität in Krakau,,
DC_researchevent_institution,name,Museu Arqueológico do Carmo - Lissabon,,
DC_researchevent_institution,name,Museu Nacional de Arqueologia - Portugal,,
DC_researchevent_institution,name,Muzeul Naţional de Istorie a României - Bukarest,,
DC_researchevent_institution,name,Antikenmuseum Basel und Sammlng Ludwig - Basel,,
DC_researchevent_institution,name,Historisches Museum Basel,,
DC_researchevent_institution,name,Musée d'art et d'histoire - Genf,,
DC_researchevent_institution,name,Museum für Archäologie Thurgau - Frauenfeld,,
DC_researchevent_institution,name,Museum für Urgeschichte - Zug,,
DC_researchevent_institution,name,Archäologisches Museum Alicante,,
DC_researchevent_institution,name,Museo Arqueológico y de Historia de Elche,,
DC_researchevent_institution,name,Museo Arqueológico Nacional de España,,
DC_researchevent_institution,name,Archologisches Museum Son Fornés,,
DC_researchevent_institution,name,Nationalmuseum Sudan,,
DC_researchevent_institution,name,Nationalmuseum Bardo,,
DC_researchevent_institution,name,Archäologisches Museum Adana,,
DC_researchevent_institution,name,Archäologisches Museum Adıyaman,,
DC_researchevent_institution,name,"Museum für anatolische Zivilisationen, Ankara",,
DC_researchevent_institution,name,Archäologisches Museum Antakya,,
DC_researchevent_institution,name,Archäologisches Museum Bandırma,,
DC_researchevent_institution,name,Archäologisches Museum Bergama (Pergamon),,
DC_researchevent_institution,name,Archäologisches Museum Çanakkale,,
DC_researchevent_institution,name,Archäologisches Museum Çorum,,
DC_researchevent_institution,name,Archäologisches Museum Istanbul,,
DC_researchevent_institution,name,Archäologisches Museum Kahramanmaraş,,
DC_researchevent_institution,name,Archäologisches Museum Malatya,,
DC_researchevent_institution,name,Archäologisches Museum Niğde,,
DC_researchevent_institution,name,Archäologisches Museum Şanlıurfa,,
DC_researchevent_institution,name,Ephesos-Museum Selçuk,,
DC_researchevent_institution,name,Archäologisches Museum Silifke,,
DC_researchevent_institution,name,"Zeugma-Mosaik-Museum, Gaziantep",,
DC_researchevent_institution,name,Nationales Historisches Museum der Ukraine - Kiew,,
DC_researchevent_institution,name,Kelsey Museum of Archaeology,,
DC_researchevent_institution,name,Peabody Museum of Archaeology and Ethnology,,
DC_researchevent_institution,name,University of Pennsylvania Museum of Archaeology and Anthropology,,
DC_researchevent_institution,name,University of Chicago - Oriental Institute Museum,,
DC_researchevent_institution,name,Art Institute of Chicago,,
DC_researchevent_institution,name,Field Museum Chicago,,
DC_researchevent_institution,name,New York Archaeology Museum,,
DC_researchevent_institution,name,The Metropolitan Museum of Art,,
DC_researchevent_institution,name,Archäologisches Museum Termiz,,
DC_researchevent_institution,name,Museum für Vor- und Frühgeschichte Weißrusslands - Minsk,,
DC_researchevent_institution,name,Archäologisches Museum Limassol,,
DC_researchevent_institution,name,Cyprus Museum,,
DC_researchevent_institution,name,École française d'Extreme-Orient,,
DC_researchevent_institution,name,École française d'Athènes,,
DC_researchevent_institution,name,École française de Rome,,
DC_site_coordinatesource,name,OREA,,
DC_site_coordinatesource,name,IGEAN,,
DC_site_coordinatesource,name,Google maps,,
DC_site_coordinatesource,name,literature,,
DC_site_geographicalreferencesystem,name,ED50 - European Datum 1950,,
DC_site_geographicalreferencesystem,name,SAD69 - South America Datum 1969,,
DC_site_geographicalreferencesystem,name,GRS80 - Geodetic Reference System 1980 ,,
DC_site_geographicalreferencesystem,name,NAD83 - North American Datum 1983,,
DC_site_geographicalreferencesystem,name,WGS84 - World Geodetic System 1984,,
DC_site_geographicalreferencesystem,name,NAVD88 - North America Virtual Datum 1988,,
DC_site_geographicalreferencesystem,name,ETRS89 - European Terrestrial Reference System 1984,,
DC_site_geographicalreferencesystem,name,GCJ02 - Chinese Encrypted Datum 2002,,
DC_site_geographicalreferencesystem,name,EPSG - European Petrol Survey Group,,
DC_site_geographicalreferencesystem,name,UTM - Universal Transverse Mercator,,
DC_site_topography,name,coast,,
DC_site_topography,name,hill,,
DC_site_topography,name,hillside,,
DC_site_topography,name,inland,,
DC_site_topography,name,valley bottom,,
DC_site_topography,name,mountain top,,
DC_site_topography,name,plain,,
DC_site_topography,name,river delta,,
DC_site_topography,name,riverside,,
DC_site_topography,name,gorge,,
DC_finds_botany_species,name,apricot,latin_name,Armeniaca vulgaris
DC_finds_botany_species,name,barley,latin_name,Hordeum vulgare
DC_finds_botany_species,name,bitter vetch,latin_name,Vicia ervilia
DC_finds_botany_species,name,broomcorn millet,latin_name,Panicum miliaceum
DC_finds_botany_species,name,chickpea,latin_name,Cicer arietinum
DC_finds_botany_species,name,einkorn wheat,latin_name,Triticum monococcum
DC_finds_botany_species,name,emmer wheat,latin_name,Triticum turgidum subsp. dicoccum
DC_finds_botany_species,name,fava bean,latin_name,Vicia faba
DC_finds_botany_species,name,flax,latin_name,Linum usitatissimum
DC_finds_botany_species,name,foxtail millet,latin_name,Setaria italica
DC_finds_botany_species,name,grass pea,latin_name,Lathyrus sativus
DC_finds_botany_species,name,hemp,latin_name,Cannabis sativa
DC_finds_botany_species,name,lentil,latin_name,Lens culinaris
DC_finds_botany_species,name,pea,latin_name,Pisum sativum
DC_finds_botany_species,name,peach,latin_name,Persica vulgaris
DC_finds_botany_species,name,poppy,latin_name,Papaver somniferum
DC_finds_botany_species,name,rye,latin_name,Secale cereale
DC_finds_botany_species,name,wild barley,latin_name,Hordeum vulgare subsp. spontaneum
DC_finds_botany_species,name,wild bitter vetch,latin_name,Vicia ervilia
DC_finds_botany_species,name,wild chickpea,latin_name,Cicer reticulatum
DC_finds_botany_species,name,wild einkorn,latin_name,Triticum monococcum subsp. baeoticum
DC_finds_botany_species,name,wild emmer,latin_name,Triticum turgidum subsp. dicoccoides
DC_finds_botany_species,name,wild flax,latin_name,Linum bienne
DC_finds_botany_species,name,wild lentil,latin_name,Lens orientalis
DC_finds_botany_species,name,wild pea,latin_name,Pisum humile
DC_finds_animal_remains_species,name,wild boar,latin_name,Sus scrofa
DC_finds_animal_remains_species,name,pig,latin_name,Sus scrofa domesticus
DC_finds_animal_remains_species,name,cattle,latin_name,Bos taurus
DC_finds_animal_remains_species,name,aurochs,latin_name,Bos primigenius
DC_finds_animal_remains_species,name,sheep/goat,latin_name,Ovis/Capra
DC_finds_animal_remains_species,name,sheep,latin_name,Ovis aries
DC_finds_animal_remains_species,name,wild sheep,latin_name,Ovis orientalis
DC_finds_animal_remains_species,name,goat,latin_name,Capra hircus
DC_finds_animal_remains_species,name,wild goat,latin_name,Capra aegagrus
DC_finds_animal_remains_species,name,dog,latin_name,Canis familiaris
DC_finds_animal_remains_species,name,horse,latin_name,Equus caballus
DC_finds_animal_remains_species,name,hare,latin_name,Lepus europaeus
DC_finds_animal_remains_species,name,red deer,latin_name,Cervus elaphus
DC_finds_animal_remains_species,name,fallow deer,latin_name,Dama dama
DC_finds_animal_remains_species,name,game,,
DC_finds_animal_remains_species,name,fish,,
DC_finds_animal_remains_species,name,molluscs,,
DC_finds_animal_remains_species,name,tuna,latin_name,thunnus
