class name,field name 1,value,field name 2,value 2,field name 3,value 3,field name 4,value 4,field name 5,value 5,field name 6,value 6,field name 7,value 7
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic I Late (Kampos Group),start_date1_BC,2900,start_date2_BC,2900,end_date1_BC,2700,end_date2_BC,2700,region,Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic IIa (Keros-Syros Group),start_date1_BC,2700,start_date2_BC,2650,end_date1_BC,2500,end_date2_BC,2450,region,Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic IIb (Kastri Group),start_date1_BC,2500,start_date2_BC,2450,end_date1_BC,2200,end_date2_BC,2150,region,Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic III (Phylakopi I),start_date1_BC,2200,start_date2_BC,2150,end_date1_BC,2000,end_date2_BC,2000,region,Cyclades
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Early Neolithic: 'Protosesklo',start_date1_BC,6500,start_date2_BC,6500,end_date1_BC,5800,end_date2_BC,5800,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Middle Neolithic: 'Sesklo',start_date1_BC,5800,start_date2_BC,5800,end_date1_BC,5400,end_date2_BC,5400,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,"Late Neolithic: Tsangli, Arapi",start_date1_BC,5400,start_date2_BC,5400,end_date1_BC,4900,end_date2_BC,4900,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Late Neolithic: Dimini,start_date1_BC,4900,start_date2_BC,4900,end_date1_BC,4500,end_date2_BC,4300,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,"Chalcolithic/Final Neolithic, Rachmani",start_date1_BC,4500,start_date2_BC,4300,end_date1_BC,3700,end_date2_BC,3700,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Chalcolithic/Final Neolithic (Late),start_date1_BC,3700,start_date2_BC,3700,end_date1_BC,3300,end_date2_BC,3300,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Early Bronze Age,start_date1_BC,3300,start_date2_BC,3300,end_date1_BC,2900,end_date2_BC,2900,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,Early Thessalian I (Petromagula-Phase),start_date1_BC,3100,start_date2_BC,3100,end_date1_BC,2900,end_date2_BC,2900,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,"Early Thessalian I Late (Argissa I, Pevkakia 1-3)",start_date1_BC,2900,start_date2_BC,2900,end_date1_BC,2700,end_date2_BC,2700,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,"Early Thessalian IIa=Early Helladic IIa (Argissa II, Pevkakia 4-7 Early)",start_date1_BC,2700,start_date2_BC,2700,end_date1_BC,2500,end_date2_BC,2450,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,"Early Thessalian IIb=Early Helladic IIb (Argissa III, Pevkakia 7 Middle-late)",start_date1_BC,2500,start_date2_BC,2450,end_date1_BC,2200,end_date2_BC,2150,region,Thessaly
