FabricID,InclusionID,InclType,InclColour,InclForm,InclParticleSize,InclFrequency,InclHardness,realInclusionID
64,2,White,5YR 8/1,Moderate oblong,"0,1 cm",4%,Hard,147
65,2,White,5YR 8/2,Spherical,"0,1 cm","7,5%",Hard,148
82,2,White,5YR 8/1,Spherical,"0,2-0,1 cm","7,5%",Hard,149
60,2,White,5YR 8/3,Spherical,"0,3-0,1 cm",8%,Hard,150
81,2,Black,5YR 2.5/1,Spherical,"0,05 cm","2,5%",Medium,151
62,2,Pinkish gray,7.5YR 6/2,Spherical,"0,05 cm",5%,Hard,152
80,2,Black,5YR 2.5/1,Moderate oblong,"0,1 cm",2%,Medium,153
78,2,White,5YR 8/1,Spherical,"0,1 cm",10%,Hard,154
68,2,Black,5YR 2.5/1,Moderately oblong,"0,05 cm","7,5%",Hard,155
69,2,Mica,Silver,Spherical,"0,03 cm",1%,Hard,156
79,2,Black,5YR 2.5/1,Moderate oblong,"0,05 cm",5%,Hard,157
70,2,Black,5YR 2.5/1,Moderate oblong,"0,1 cm","2,5%",Medium,158
71,2,Gray,7.5YR 5/0,Oblong,"1,3-0,5 cm",20%,Hard,159
74,2,White,5YR 8/1,Spherical,"0,05 cm",5%,Hard,160
77,2,Black,5YR 2.5/1,Oblong,"0,4 cm",5%,Medium,161
76,2,White,5YR 8/1,Spherical,"0,1 cm","2,5%",Hard,162
73,2,Black,5YR 2.5/1,Moderate oblong,"0,05 cm",5%,Hard,163
66,2,Mica,Silver,Spherical,"0,03 cm",1%,Hard,164
30,2,Mica,Silver,Spherical,"0,3 cm",5%,Hard,165
53,2,Black,5YR 2.5/1,Spherical,"0,5 cm","2,5%",Medium,166
59,2,White,5YR 8/1,Moderate oblong,"0,3-0,1 cm",8%,Hard,167
52,2,Black,5YR 2.5/1,Spherical,"0,5cm",1%,Medium,168
55,2,White,5YR 8/1,Spherical,"0,1 cm",1%,Hard,169
56,2,White,5YR 8/1,Spherical,"0,1 cm",2%,Hard,170
51,2,Black,5YR 2.5/1,Spherical,"0,1 cm",5%,Medium,171
54,2,Reddish yellow,7.5YR 6/8,Moderate oblong,"0,1 cm","1,5%",Hard,172
90,2,Black,5YR 2.5/1,Spherical,"0,05 cm",1%,Medium,173
57,2,White,5YR 8/1,Spherical,"0,1 cm",1%,Hard,174
88,2,Black,5YR 2.5/1,Moderate oblong,"0,1 cm",3%,Hard,175
50,2,Mica,Silver,Spherical,"0,03 cm",1%,Hard,176
58,2,White,5YR 8/1,Spherical,"0,1 cm",5%,Hard,177
49,2,Black,5YR 2.5/1,Spherical,"0,08 cm",1%,Medium,178
89,2,White,10YR 8/1,Moderately oblong,"0,3-0,1 cm","7,5%",Hard,179
87,2,Black,5YR 2.5/1,Spherical,"0,03 cm","1,5%",Medium,180
21,3,White,5YR 8/1,Spherical,"0,1 -0,05 cm","2,5%",Hard,181
34,3,Mica,Gold,Spherical,"0,03 cm",3%,Hard,182
2,3,White,5YR 8/1,Spherical,"0,05 cm",1%,Medium,183
1,3,Dark reddish brown,5YR 3/4,Spherical,"0,05 cm",1%,Soft,184
75,3,White,5YR 8/1,Spherical,"0,3-0,1 cm",10%,Hard,185
8,3,Yellowih red,5YR 5/6,Spherical,"0,1 cm",1%,Hard,186
73,3,White,5YR 8/1,Spherical,"0,05 cm","2,5%",Hard,187
49,3,Mica,Silver,Spherical,"0,03 cm",1%,Hard,188
77,3,White,5YR 8/1,Spherical,"0,1 cm","2,5%",Hard,189
79,3,White,5YR 8/1,Spherical,"0,05 cm","7,5%",Hard,190
0,3,Black,5YR 2.5/1,Spherical,"0,05 cm",1%,Medium,191
76,3,Yellowish red,5YR 5/6,Spherical,"0,1 cm","2,5%",Medium,192
20,3,White,5YR 8/1,Spherical,"0,2 - 0,05 cm","1,5%",Hard,193
19,3,Black,5YR 2.5/1,Spherical,"0,1 cm","2,5%",Medium,194
14,3,White,5YR 8/1,Spherical,"0,1 cm",1%,Hard,195
86,3,White,5YR 8/1,Spherical,"0,05 cm","2,5%",Hard,196
10,3,Black,5YR 2.5/1,Moderate oblong,"0,05 cm","2,5%",Hard,197
85,3,White,5YR 8/1,Spherical,"0,1cm","1,5%",Hard,198
88,3,Light brownish grey,10Y 6/2,Spherical,"0,1 cm",2%,Hard,199
84,3,White,5YR 8/1,Spherical,"0,05 cm",3%,Hard,200
12,3,Black,5YR 2.5/1,Spherical,"0,1 cm",1%,Hard,201
89,3,Mica,Silver,Spherical,"0,03 cm","2,5%",Hard,202
80,3,White,5YR 8/1,Spherical,"0,1 cm","2,5%",Hard,203
82,3,Black,5YR 2.5/1,Spherical,"0,1 cm",1%,Medium,204
18,3,White,5YR 2.5/1,Spherical,"0,1 cm",1%,Hard,205
30,3,Dark Gray,5YR 4/1,Spherical,"0,05 cm",3%,Medium,206
81,3,White,5YR 8/1,Spherical,"0,1 cm",5%,Hard,207
3,3,Mica,Silver,Spherical,"0,03 cm",1%,Hard,208
4,3,Dark gray,5YR 4/1,Spherical,"0,2 cm",1%,Hard,209
16,3,White,5YR 8/1,Moderate oblong,"0,3 cm",>1%,Hard,210
83,3,Mica,Silver,Spherical,"0,03 cm",1%,Hard,211
78,3,Black,5YR 2.5/1,Spherical,"0,1 cm","2,5%",Medium,212
33,3,Mica,Gold,Spherical,"0,03 cm",1%,Hard,213
6,3,Pink,5YR 8/3,Spherical,"0,1 cm",> 1%,Hard,214
57,3,Black,5YR 2.5/1,Moderate obong,"0,1 cm","1,5%",Medium,215
64,3,Black,5YR 2/1,Moderate oblong,"0,3-0,1 cm",5%,Medium,216
63,3,White,5YR 8/1,Spherical,"0,1 cm",2%,Hard,217
62,3,Black,5YR 2.5/1,Oblong,"0,1 cm",4%,Medium,218
74,3,Black,5YR 2.5/1,Moderate oblong,"0,05 cm",1%,Medium,219
61,3,White,5YR 8/1,Moderate oblong,"0,1-0,05 cm",1%,Hard,220
71,3,White,5YR 8/1,Spherical,"0,1 cm","2,5%",Hard,221
60,3,Black,5YR 2.5/1,Moderate oblong,"0,1 cm",5%,Medium,222
37,3,Black,5YR 2.5/1,Spherical,"0,05",2%,Medium,223
59,3,Black,5YR 2.5/1,Moderate oblong,"0,1 cm",5%,Medium,224
38,3,Blacke,5YR 2.5/1,Spherical,"0,05 cm",1%,Medium,225
32,3,Black,5YR 2.5/1,Spherical,"0,05 cm",1%,Medium,226
39,3,Glimmer,Gold,Spherical,"0,03 cm",1%,Hard,227
35,3,White,5YR 8/1,Spherical,"0,1 cm",2%,Hard,228
40,3,Glimmer,Silver,Spherical,"0,03 cm",1%,Hard,229
41,3,White,5YR 8/2,Spherical,"0,1 cm","3,5%",Hard,230
56,3,Black,5YR 2.5/1,Moderate oblong,"0,1 cm",2%,Medium,231
42,3,White,5YR 8/1,Spherical,"0,1 cm",3 cm,Hard,232
54,3,White,5YR 8/1,Spherical,"0,1 cm",1%,Hard,233
43,3,Black,5YR 2.5/1,Spherical,"0,05 cm",3%,Medium,234
44,3,Pinkish gray,7.5YR 6/2,Spherical,"0,2-0,1 cm",6%,Medium,235
52,3,Light gray,5YR 7/1,Spherical,"0,3 cm","0,5%",Hard,236
45,3,Black,5YR 2.5/1,Spherical,"0,05 cm","2,5%",Medium,237
51,3,White,5YR 8/1,Spherical,"0,1 cm","1,5%",Hard,238
58,3,Black,5YR 2.5/1,Spherical,"0,1 cm","2,5%",Medium,239
25,3,Black,7.5YR 2/0,Spherical,"0,05 cm",2%,Medium,240
22,3,Black,5YR 2.5/1,Moderate oblong,"0,1 cm","7,5%",Medium,241
72,3,White,5YR 8/1,Spherical,"0,05 cm",2.5%,Hard,242
23,3,Very pale brown,10YR 7/2,Spherical,"0,1 cm",10%,Hard,243
47,3,White,5YR 8/1,Spherical,"0,1cm",1%,Hard,244
24,3,Black,5YR 2.5/1,Spherical,"0,05 cm","2,5%",Medium,245
36,3,Black,5YR 2.5/1,Spherical,"0,1 cm","1,5%",Medium,246
70,3,White,5YR 8/1,Spherical,"0,1 cm",1%,Hard,247
